mfds_category,code,drug
218,454001ATB,rosuvastatin calcium (as rosuvastatin   10mg)
218,454002ATB,rosuvastatin calcium (as rosuvastatin   20mg)
218,454003ATB,rosuvastatin calcium (as rosuvastatin   5mg)
218,462201ATB,ezetimibe   10mg
218,470901ATB,pitavastatin calcium   2mg
218,470902ATB,pitavastatin calcium   1mg
218,470903ATB,pitavastatin calcium   4mg
218,471000ATB,ezetimibe   10mg
218,471000ATB,simvastatin   10mg
218,471100ATB,ezetimibe   10mg
218,471100ATB,simvastatin   20mg
218,507800ATB,ezetimibe   10mg
218,507800ATB,simvastatin   40mg
218,492501ATB,clopidogrel resinate (as clopidogrel   75mg)
218,495201ATB,clopidogrel besylate (as clopidogrel   75mg)
218,498801ATB,clopidogrel napadisilate monohydrate (as clopidogrel   75mg)
218,498900ATB,ginkgo biloba ext.   80mg
218,498900ATB,ticlopidine hydrochloride   0.25g
218,501501ATB,clopidogrel camsylate (as clopidogrel   75mg)
218,502201ATB,atorvastatin strontium pentahydrate (as atorvastatin   10mg)
218,502202ATB,atorvastatin strontium pentahydrate (as atorvastatin   20mg)
218,502203ATB,atorvastatin strontium pentahydrate (as atorvastatin   40mg)
218,502204ATB,atorvastatin strontium pentahydrate (as atorvastatin   80mg)
218,517900ACE,aspirin   0.1g
218,517900ACE,clopidogrel bisulfate (as clopidogrel   75mg)
218,517900ATE,aspirin   0.1g
218,517900ATE,clopidogrel bisulfate (as clopidogrel   75mg)
218,667500ACE,aspirin   75mg
218,667500ACE,clopidogrel bisulfate (as clopidogrel   75mg)
218,519300ACH,fenofibrate   0.16g
218,519300ACH,pravastatin sodium   40mg
218,520301ACH,fenofibric acid   0.135g
218,520302ATE,fenofibric acid   0.11g
218,597301ATB,prasugrel hydrochloride (as prasugrel   5mg)
218,597302ATB,prasugrel hydrochloride (as prasugrel   10mg)
218,615901ATB,ticagrelor   90mg
218,615902ATB,ticagrelor   60mg
218,631400ATB,fenofibrate   0.145g
218,631400ATB,simvastatin   20mg
218,631500ATB,fenofibrate   0.145g
218,631500ATB,simvastatin   40mg
218,633800ATB,atorvastatin calcium (as atorvastatin   10mg)
218,633800ATB,ezetimibe   10mg
218,633900ATB,atorvastatin calcium (as atorvastatin   20mg)
218,633900ATB,ezetimibe   10mg
218,634600ATB,atorvastatin calcium (as atorvastatin   80mg)
218,634600ATB,ezetimibe   10mg
218,634800ATB,atorvastatin calcium (as atorvastatin   40mg)
218,634800ATB,ezetimibe   10mg
218,640700ATB,ezetimibe   10mg
218,640700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
218,640800ATB,ezetimibe   10mg
218,640800ATB,rosuvastatin calcium (as rosuvastatin   10mg)
218,640900ATB,ezetimibe   10mg
218,640900ATB,rosuvastatin calcium (as rosuvastatin   20mg)
218,642301ACR,choline fenofibrate (as fenofibric acid   0.135g)
218,642301ATR,choline fenofibrate (as fenofibric acid   0.135g)
218,663400ACS,"omega-3-acid ethyl esters90   1g (as EPA ethylester   0.46g, DHA ethylester   0.38g, α-tocopherol   4mg)"
218,663400ACS,rosuvastatin calcium (as rosuvastatin   5mg)
218,679300ACH,fenofibrate granule(micronized) (as fenofibrate   0.16g)
218,679300ACH,pitavastatin calcium   2mg
218,679401ACS,"omega-3-acid ethyl esters90   2g (as EPA ethylester   0.92g, DHA ethylester   0.76g)"
218,679402ACS,"omega-3-acid ethyl esters90   1g (as EPA ethylester   0.46g, DHA ethylester   0.38g)"
219,101601APD,acetyl L-carnitine hydrochloride (as acetyl L-carnitine   0.5g)
219,101601ATB,acetyl L-carnitine hydrochloride (as acetyl L-carnitine   0.5g)
219,111001ACE,aspirin(enteric coated) (as aspirin   0.1g)
219,111001ATE,aspirin(enteric coated) (as aspirin   0.1g)
219,111002ATE,aspirin(enteric coated) (as aspirin   75mg)
219,111003ATE,aspirin(enteric coated) (as aspirin   81mg)
219,117901ATB,bisoprolol fumarate   10mg
219,117902ATB,bisoprolol fumarate   5mg
219,121701ATB,calcium acetate   0.71g
219,124531ALQ,L-carnitine   30g(0.3g/mL)
219,124501ATB,L-carnitine   1g
219,124503ATB,L-carnitine   0.33g
219,129101ATB,celiprolol hydrochloride   0.2g
219,132301APD,cholestyramine resin   4g
219,148101ATB,dobesilate calcium   0.25g
219,148103ATB,dobesilate calcium   0.5g
219,165301ATB,ginkgo biloba leaf ext.   0.12g
219,165303ACS,ginkgo biloba leaf ext.   40mg
219,165303ATB,ginkgo biloba leaf ext.   40mg
219,165305ATB,ginkgo biloba leaf ext.   80mg
219,172701ACR,ibudilast   10mg
219,173201ATB,ifenprodil tartrate   20mg
219,179303ATE,kallidinogenase   50I.U
219,184101ATB,limaprost α-cyclodextrin (as limaprost   5μg)
219,193802ATB,metoprolol tartrate   0.1g
219,194003ATR,metoprolol succinate   95mg
219,198301ATB,nadolol   40mg
219,201201ATB,nicergoline   10mg
219,201203ATB,nicergoline   30mg
219,201204ATB,nicergoline   5mg
219,210802ATR,pentoxifylline   0.4g
219,215430ASS,polystyrene sulfonate calcium   5g(0.25g/mL)
219,215432ASS,polystyrene sulfonate calcium   5g
219,215402ACM,polystyrene sulfonate calcium   5g
219,215402AGN,polystyrene sulfonate calcium   5g
219,215402APD,polystyrene sulfonate calcium   5g
219,233001ACS,sulfomucopolysaccharide   200I.U
219,233303ACS,sulodexide   250I.U
219,244101ACH,triflusal   0.3g
219,244102ACH,triflusal   0.15g
219,248901ATB,vitis vinifera ext.   50mg
219,248902ATB,vitis vinifera ext.   0.15g
219,430301ACH,mesoglycan sodium   50mg
219,461601ATB,citicoline sodium (as citicoline   0.5g)
219,472300ATB,amlodipine besylate (as amlodipine   5mg)
219,472300ATB,atorvastatin calcium (as atorvastatin   10mg)
219,472400ATB,amlodipine besylate (as amlodipine   5mg)
219,472400ATB,atorvastatin calcium (as atorvastatin   20mg)
219,472500ATB,amlodipine besylate (as amlodipine   5mg)
219,472500ATB,atorvastatin calcium (as atorvastatin   40mg)
219,518900ATB,amlodipine besylate (as amlodipine   10mg)
219,518900ATB,atorvastatin calcium (as atorvastatin   20mg)
219,487102ATB,lanthanum carbonate (as lanthanum   0.5g)
219,487103ATB,lanthanum carbonate (as lanthanum   0.75g)
219,487104APD,lanthanum carbonate (as lanthanum   1g)
219,489700ACR,aspirin   25mg
219,489700ACR,dipyridamole   0.2g
219,495401ACH,vitis vinifera leaf ext.   0.18g
219,517701APD,sevelamer carbonate   0.8g
219,517701ATB,sevelamer carbonate   0.8g
219,524000ATB,atorvastatin calcium (as atorvastatin   10mg)
219,524000ATB,irbesartan   0.15g
219,524100ATB,atorvastatin calcium (as atorvastatin   20mg)
219,524100ATB,irbesartan   0.15g
219,527000ATB,atorvastatin calcium (as atorvastatin   20mg)
219,527000ATB,irbesartan   0.3g
219,527100ATB,atorvastatin calcium (as atorvastatin   10mg)
219,527100ATB,irbesartan   0.3g
219,525000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,525000ATB,valsartan   80mg
219,525100ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,525100ATB,valsartan   0.16g
219,525200ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,525200ATB,valsartan   80mg
219,525300ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,525300ATB,valsartan   0.16g
219,629700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,629700ATB,valsartan   80mg
219,629800ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,629800ATB,valsartan   160mg
219,526300ATB,olmesartan medoxomil   20mg
219,526300ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,526400ATB,olmesartan medoxomil   20mg
219,526400ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,526500ATB,olmesartan medoxomil   40mg
219,526500ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,526900ATB,olmesartan medoxomil   20mg
219,526900ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,644100ATB,olmesartan medoxomil   10mg
219,644100ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,644200ATB,olmesartan medoxomil   10mg
219,644200ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,653200ATB,olmesartan medoxomil   40mg
219,653200ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,550401ATB,ivabradine hydrochloride (as ivabradine   5mg)
219,550402ATB,ivabradine hydrochloride (as ivabradine   7.5mg)
219,614500ATB,atorvastatin calcium (as atorvastatin   10mg)
219,614500ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
219,616501ATB,tolvaptan SD powder (as tolvaptan   15mg)
219,616502ATB,tolvaptan SD powder (as tolvaptan   30mg)
219,629900ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,629900ATB,telmisartan   40mg
219,630000ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,630000ATB,telmisartan   40mg
219,630100ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,630100ATB,telmisartan   80mg
219,630200ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,630200ATB,telmisartan   80mg
219,631600ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,631600ATB,telmisartan   40mg
219,631700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,631700ATB,telmisartan   80mg
219,634900ATB,pitavastatin calcium   2mg
219,634900ATB,valsartan   160mg
219,635000ATB,pitavastatin calcium   2mg
219,635000ATB,valsartan   80mg
219,635100ATB,pitavastatin calcium   4mg
219,635100ATB,valsartan   160mg
219,635200ATB,pitavastatin calcium   4mg
219,635200ATB,valsartan   80mg
219,651401ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   0.1g
219,651402ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   0.2g
219,651403ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   50mg
219,654700ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,654700ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,654800ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,654800ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,654900ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,654900ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,655000ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,655000ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,661800ATB,candesartan cilexetil   8mg
219,661800ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,661900ATB,candesartan cilexetil   8mg
219,661900ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,662000ATB,candesartan cilexetil   16mg
219,662000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,662100ATB,candesartan cilexetil   32mg
219,662100ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,673700ATB,candesartan cilexetil   16mg
219,673700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,663900ATB,amlodipine camsylate (as amlodipine   5mg)
219,663900ATB,losartan potassium (as losartan   45.8mg)
219,663900ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,664000ATB,amlodipine camsylate (as amlodipine   5mg)
219,664000ATB,losartan potassium (as losartan   45.8mg)
219,664000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,664100ATB,amlodipine camsylate (as amlodipine   5mg)
219,664100ATB,losartan potassium (as losartan   45.8mg)
219,664100ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,664200ATB,amlodipine camsylate (as amlodipine   5mg)
219,664200ATB,losartan potassium (as losartan   91.6mg)
219,664200ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,664300ATB,amlodipine camsylate (as amlodipine   5mg)
219,664300ATB,losartan potassium (as losartan   91.6mg)
219,664300ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,664400ATB,amlodipine camsylate (as amlodipine   5mg)
219,664400ATB,losartan potassium (as losartan   91.6mg)
219,664400ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,670301ATB,sucroferric oxyhydroxide (as Fe III   0.5g)
219,671200ATB,amlodipine besylate (as amlodipine   5mg)
219,671200ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,671200ATB,telmisartan   40mg
219,671300ATB,amlodipine besylate (as amlodipine   5mg)
219,671300ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,671300ATB,telmisartan   80mg
219,671400ATB,amlodipine besylate (as amlodipine   5mg)
219,671400ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,671400ATB,telmisartan   40mg
219,671500ATB,amlodipine besylate (as amlodipine   5mg)
219,671500ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,671500ATB,telmisartan   80mg
219,671600ATB,amlodipine besylate (as amlodipine   10mg)
219,671600ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,671600ATB,telmisartan   80mg
219,671700ATB,amlodipine besylate (as amlodipine   10mg)
219,671700ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,671700ATB,telmisartan   80mg
219,677000ATB,amlodipine besylate (as amlodipine   5mg)
219,677000ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,677000ATB,telmisartan   40mg
219,677100ATB,amlodipine besylate (as amlodipine   5mg)
219,677100ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,677100ATB,telmisartan   80mg
219,673900ATB,amlodipine besylate (as amlodipine   5mg)
219,673900ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,674000ATB,amlodipine besylate (as amlodipine   5mg)
219,674000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,674100ATB,amlodipine besylate (as amlodipine   5mg)
219,674100ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,678600ATB,amlodipine besylate (as amlodipine   10mg)
219,678600ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,677300ATB,amlodipine besylate (as amlodipine   5mg)
219,677300ATB,olmesartan medoxomil   20mg
219,677300ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,677400ATB,amlodipine besylate (as amlodipine   5mg)
219,677400ATB,olmesartan medoxomil   20mg
219,677400ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,677500ATB,amlodipine besylate (as amlodipine   10mg)
219,677500ATB,olmesartan medoxomil   40mg
219,677500ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,677600ATB,amlodipine besylate (as amlodipine   10mg)
219,677600ATB,olmesartan medoxomil   40mg
219,677600ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,686800ATB,amlodipine besylate (as amlodipine   5mg)
219,686800ATB,olmesartan medoxomil   40mg
219,686800ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,686900ATB,amlodipine besylate (as amlodipine   5mg)
219,686900ATB,olmesartan medoxomil   40mg
219,686900ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,679500ATB,amlodipine besylate (as amlodipine   5mg)
219,679500ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,679500ATB,valsartan   80mg
219,679600ATB,amlodipine besylate (as amlodipine   5mg)
219,679600ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,679600ATB,valsartan   0.16g
219,679700ATB,amlodipine besylate (as amlodipine   5mg)
219,679700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,679700ATB,valsartan   0.16g
219,680300ATB,amlodipine besylate (as amlodipine   5mg)
219,680300ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,680300ATB,valsartan   80mg
219,683000ATB,nebivolol hydrochloride (as nebivolol   5mg)
219,683000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,683100ATB,nebivolol hydrochloride (as nebivolol   5mg)
219,683100ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,683200ATB,nebivolol hydrochloride (as nebivolol   2.5mg)
219,683200ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,684300ATB,amlodipine besylate (as amlodipine   5mg)
219,684300ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,684300ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,684400ATB,amlodipine besylate (as amlodipine   5mg)
219,684400ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,684400ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,684500ATB,amlodipine besylate (as amlodipine   5mg)
219,684500ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,684500ATB,rosuvastatin calcium (as rosuvastatin   5mg)
219,684600ATB,amlodipine besylate (as amlodipine   5mg)
219,684600ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,684600ATB,rosuvastatin calcium (as rosuvastatin   10mg)
219,684700ATB,amlodipine besylate (as amlodipine   10mg)
219,684700ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,684700ATB,rosuvastatin calcium (as rosuvastatin   20mg)
219,688100ATB,atorvastatin calcium (as atorvastatin   10mg)
219,688100ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,688200ATB,atorvastatin calcium (as atorvastatin   10mg)
219,688200ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,688300ATB,atorvastatin calcium (as atorvastatin   20mg)
219,688300ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
219,688400ATB,atorvastatin calcium (as atorvastatin   20mg)
219,688400ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
219,688500ATB,atorvastatin calcium (as atorvastatin   40mg)
219,688500ATB,fimasartan potassium trihydrate (as fimasartan potassium   0.12g)
221,516800ALQ,caffeine anhydrous   10mg (as caffeine citrate 20mg)
221,516800ALQ,citric acid   5mg
221,516800ALQ,sodium citrate   8.3mg
221,559700ALQ,caffeine anhydrous   20mg (as caffeine citrate 40mg)
221,559700ALQ,citric acid   10mg
221,559700ALQ,sodium citrate   16.6mg
222,101830AGN,acetylcysteine   0.2g(0.2g/g)
222,101842AGN,acetylcysteine   20g(0.2g/g)
222,101843AGN,acetylcysteine   40g(0.2g/g)
222,101839ASY,acetylcysteine   10g(20mg/mL)
222,101840ASY,acetylcysteine   11g(20mg/mL)
222,101801ACH,acetylcysteine   0.1g
222,101804ACH,acetylcysteine   0.2g
222,101807ATB,acetylcysteine   0.6g
222,106331ASY,ambroxol hydrochloride   1.5g(3mg/mL)
222,106332ASY,ambroxol hydrochloride   3g(3mg/mL)
222,106301ATB,ambroxol hydrochloride   30mg
222,113801ATB,bamiphylline hydrochloride   0.3g
222,115801ACS,benzonatate   0.1g
222,118601ATB,bromhexine hydrochloride   8mg
222,123840ASY,L-carbocysteine   10g(20mg/mL)
222,123841ASY,L-carbocysteine   20g(20mg/mL)
222,123843ASY,L-carbocysteine   25g(50mg/mL)
222,123844ASY,L-carbocysteine   50g(50mg/mL)
222,123801ACH,L-carbocysteine   0.5g
222,123804ACH,L-carbocysteine   0.375g
222,135331ASY,clenbuterol hydrochloride   1mg(1μg/mL)
222,135332ASY,clenbuterol hydrochloride   0.5mg(1μg/mL)
222,150034ASY,ivy leaf 70% ethanol fluid ext.   0.1g(20mg/mL)
222,150043ASY,ivy leaf 70% ethanol fluid ext.   2g(20mg/mL)
222,150045ASY,ivy leaf 70% ethanol fluid ext.   10g(20mg/mL)
222,150032ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   35mg(7mg/mL)
222,150033ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   52.5mg(7mg/mL)
222,150044ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   3.5g(7mg/mL)
222,150046ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   1.4g(7mg/mL)
222,150007ATB,ivy leaf 30% ethanol dried ext.(5~7.5→1) (as hederacoside C   2.5mg)   25mg
222,153130ASY,erdosteine   1.75g(35mg/mL)
222,153101ACH,erdosteine   0.3g
222,153101ATB,erdosteine   0.3g
222,157901ATB,fenoterol hydrobromide   2.5mg
222,163130ASY,formoterol fumarate hydrate   4mg(40μg/g)
222,163131ASY,formoterol fumarate hydrate   12mg(40μg/g)
222,163101ATB,formoterol fumarate hydrate   20μg
222,163104ATB,formoterol fumarate hydrate   40μg
222,180140ASY,ketotifen fumarate (as ketotifen   20mg(0.2mg/mL))
222,180142ASY,ketotifen fumarate (as ketotifen   0.1g(0.2mg/mL))
222,180143ASY,ketotifen fumarate (as ketotifen   0.2g(0.2mg/mL))
222,180151ASY,ketotifen fumarate (as ketotifen   40mg(0.2mg/mL))
222,180161ASY,ketotifen fumarate (as ketotifen   1mg(0.2mg/mL))
222,180162ASY,ketotifen fumarate (as ketotifen   2mg(0.2mg/mL))
222,180163ASY,ketotifen fumarate (as ketotifen   3mg(0.2mg/mL))
222,180101ATB,ketotifen fumarate (as ketotifen   1mg)
222,183131ASY,levodropropizine   60mg(6mg/mL)
222,183135ASY,levodropropizine   3g(6mg/mL)
222,183102ACH,levodropropizine   60mg
222,183102ATB,levodropropizine   60mg
222,183103ATR,levodropropizine   90mg
222,192401ATB,"methyl-N,S-diacetylcysteine   0.2g"
222,207701ATB,ozagrel hydrochloride   0.2g
222,218301ATB,procaterol hydrochloride   25μg
222,218302ATB,procaterol hydrochloride   50μg
222,225501ATB,salbutamol sulfate (as salbutamol   2mg)
222,225503ACR,salbutamol sulfate (as salbutamol   4mg)
222,225503ATB,salbutamol sulfate (as salbutamol   4mg)
222,225507ACR,salbutamol sulfate (as salbutamol   8mg)
222,228201ACH,sobrerol   0.1g
222,228202ACH,sobrerol   0.2g
222,237031ASY,theophylline   40g(0.2g/g)
222,237001ACR,theophylline   0.1g
222,237003ACR,theophylline   0.2g
222,237003ATR,theophylline   0.2g
222,237005ATR,theophylline   0.4g
222,242601ACH,tranilast   0.1g
222,532000ASY,ambroxol hydrochloride   0.75g(1.5mg/mL)
222,532000ASY,clenbuterol hydrochloride   0.5mg(1μg/mL)
222,532100ASY,ambroxol hydrochloride   1.5g(1.5mg/mL)
222,532100ASY,clenbuterol hydrochloride   1mg(1μg/mL)
222,264800ATB,ambroxol hydrochloride   30mg
222,264800ATB,clenbuterol hydrochloride   20μg
222,266500ATB,dextromethorphan hydrobromide   20mg
222,266500ATB,guaifenesin   0.2g
222,266500ATB,pseudoephedrine hydrochloride   60mg
222,267400ATB,caffeine anhydrous   10mg
222,267400ATB,chlorpheniramine maleate   1.5mg
222,267400ATB,dihydrocodeine tartrate   5mg
222,267400ATB,DL-methylephedrine hydrochloride   17.5mg
222,532800ASY,chlorpheniramine maleate   0.15g(0.15mg/mL)
222,532800ASY,dihydrocodeine tartrate   0.5g(0.5mg/mL)
222,532800ASY,DL-methylephedrine hydrochloride   1.3125g(1.3125mg/mL)
222,532800ASY,guaifenesin   3.75g(3.75mg/mL)
222,532700ASY,chlorpheniramine maleate   75mg(0.15mg/mL)
222,532700ASY,dihydrocodeine tartrate   0.25g(0.5mg/mL)
222,532700ASY,DL-methylephedrine hydrochloride   0.65625g(1.3125mg/mL)
222,532700ASY,guaifenesin   1.875g(3.75mg/mL)
222,268000ATB,chlorpheniramine maleate   1.5mg
222,268000ATB,dihydrocodeine tartrate   5mg
222,268000ATB,DL-methylephedrine hydrochloride   17.5mg
222,268000ATB,guaifenesin   50mg
222,429030ASS,levocloperastine fendizoate (as cloperastine hydrochloride   32mg(4mg/mL))
222,429031ASS,levocloperastine fendizoate (as cloperastine hydrochloride   2g(4mg/mL))
222,439101ATB,doxofylline   0.4g
222,503301ACH,theobromine   0.3g
222,532500ASY,ammonium chloride   0.2g(10mg/mL)
222,532500ASY,chlorpheniramine maleate   3mg(0.15mg/mL)
222,532500ASY,dihydrocodeine tartrate   10mg(0.5mg/mL)
222,532500ASY,DL-methylephedrine hydrochloride   26.2mg(1.31mg/mL)
222,532600ASY,ammonium chloride   5g(10mg/mL)
222,532600ASY,chlorpheniramine maleate   75mg(0.15mg/mL)
222,532600ASY,dihydrocodeine tartrate   0.25g(0.5mg/mL)
222,532600ASY,DL-methylephedrine hydrochloride   0.655g(1.31mg/mL)
222,677200ASY,ammonium chloride   0.13g(10mg/mL)
222,677200ASY,chlorpheniramine maleate   1.95mg(0.15mg/mL)
222,677200ASY,dihydrocodeine tartrate   6.5mg(0.5mg/mL)
222,677200ASY,DL-methylephedrine hydrochloride   17.03mg(1.31mg/mL)
222,532900ASY,acetylcysteine   0.2g(20mg/mL)
222,532900ASY,chlorpheniramine maleate   4mg(0.4mg/mL)
222,533000ASY,acetylcysteine   10g(20mg/mL)
222,533000ASY,chlorpheniramine maleate   0.2g(0.4mg/mL)
222,533100ASY,acetylcysteine   11g(20mg/mL)
222,533100ASY,chlorpheniramine maleate   0.22g(0.4mg/mL)
222,684000ASY,acetylcysteine   0.3g(20mg/mL)
222,684000ASY,chlorpheniramine maleate   6mg(0.4mg/mL)
222,533400ASY,coptis rhizome butanol dried ext.(4.5~7→1)   8.75mg(0.875mg/mL)
222,533400ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   26.25mg(2.625mg/mL)
222,533500ASY,coptis rhizome butanol dried ext.(4.5~7→1)   13.125mg(0.875mg/mL)
222,533500ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   39.375mg(2.625mg/mL)
222,533600ASY,coptis rhizome butanol dried ext.(4.5~7→1)   0.4375g(0.875mg/mL)
222,533600ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   1.3125g(2.625mg/mL)
229,100701ACH,acebrophylline   0.1g
229,100702ATR,acebrophylline   0.2g
229,113601ATB,bambuterol hydrochloride   10mg
229,220902ATB,pseudoephedrine hydrochloride   60mg
229,443600ATB,acetaminophen   0.3g
229,443600ATB,sobrerol   0.15g
229,490331ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   1.5444g(0.1716g/mL)
229,490335ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   85.8g(0.1716g/mL)
229,490336ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍglycerin mixed solution(8:2)   171.6g(0.1716g/mL)
229,490303ATB,pelargonium sidoides 11% ethanol ext.(1→8~10) (as dried pelargonium sidoides ethanol ext.   16~20mg)
229,614701ATB,roflumilast(micronized)   0.5mg
229,620301ATB,pirfenidone   0.2g
229,620302ATB,pirfenidone   0.4g
229,620303ATB,pirfenidone   0.6g
229,677900ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   1.945g(3.89mg/mL)
229,677900ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍmaltodextrin mixed solution(1:4.56)   5.72g(11.44mg/mL)
229,683700ASY,ivy leaf 30% ethanol dried ext.(5~7.5→1)   35.01mg(3.89mg/mL)
229,683700ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)ㆍmaltodextrin mixed solution(1:4.56)   0.10296g(11.44mg/mL)
229,687100ASY,coptis rhizome dried ext.(8.93→1)   7.983mg(0.887mg/mL)
229,687100ASY,pelargonium sidoides 11% ethanol ext.(1→8~10)   1.22751g(0.13639g/mL)
231,149702ACH,doxycycline hyclate hydrate (as doxycycline   20mg)
232,109931ALQ,sodium alginate   1g(50mg/mL)
232,109932ALQ,sodium alginate   1.25g(50mg/mL)
232,109935ALQ,sodium alginate   30g(50mg/mL)
232,109936ALQ,sodium alginate   0.5g(50mg/mL)
232,109937ALQ,sodium alginate   1.5g(50mg/mL)
232,109938ALQ,sodium alginate   1.1g(50mg/mL)
232,109903ATB,sodium alginate   0.25g
232,115001ACH,benexate betadex   0.2g
232,118101ASS,boehmite (as aluminum oxide   1.212g)
232,133301ATB,cimetidine   0.2g
232,133302ATB,cimetidine   0.3g
232,133303ATB,cimetidine   0.4g
232,157301ATB,famotidine   10mg
232,157302ATB,famotidine   20mg
232,157302ATD,famotidine   20mg
232,167003ATB,glycopyrrolate   1mg
